"Station_Name","Station_ID","Station_Type","Longitude","Latitude"
"Xiaoshipeng","21422600","Rainfall Station","122.4333","40.25"
"Mengjiadian","21422650","Rainfall Station","122.516666","40.25"
"Kuangdonggou","21422750","Rainfall Station","122.716666","40.183333"
"Taipingzhuang","21422800","Rainfall Station","122.8167","40.1667"
"Xipashan","21422850","Rainfall Station","122.5333","40.1167"
"Jianchang","21401500","Hydrological Station","122.542056","40.026389"
"Dajiangtun","21423050","Rainfall Station","122.71089","40.026934"
"Guiyunhua","21423100","Rainfall Station","122.55","39.916666"
"Tianyi","21423000","Rainfall Station","122.424041","39.889613"
"Biliuhe Reservoir","21401550","Hydrological Station","122.491194","39.820361"
